,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.783314,-0.289003,-0.800000,-0.200000,-0.437999,-0.899787,-0.447616,-0.712206,-0.599457,-0.215231,-0.400000,-0.671209,-0.234403,-0.658737,-0.681383,-0.486508,-0.751535,-0.553137,-0.634645,-0.260429,-0.488335,-0.142736,-0.274048,-0.187056,-0.600000,-0.289053,-0.576533,-0.500000,-0.590052,-0.724799,-0.513974,-0.500000,-0.400000,-0.376181,-0.300000,-0.100000,-0.300000,0.000000,-0.552488,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.025584,0.000000,-0.100000,-0.200000,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.452167,-0.600000,-0.638145,-0.574810,-0.479397,-0.634874,-0.400000,-0.758430,-0.809628,-0.400000,-0.562388,-1.000000,-0.600000,-0.439766,-0.988823,-0.221911,-0.715136,-0.746005,-0.609405,-0.247019,-0.494938,-0.700000,-0.500000,-0.494560,-0.671209,-0.624799,-0.413974,-0.500000,-0.500000,-0.476181,-0.388598
0=20,0.000000,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.783314,-0.244501,-0.800000,-0.200000,-0.243999,-0.899787,-0.348808,-0.566960,-0.541055,-0.082616,-0.233887,-0.671209,-0.192201,-0.627982,-0.681383,-0.412499,-0.751535,-0.511370,-0.578665,-0.199090,-0.455770,-0.096368,-0.162024,-0.118528,-0.380730,-0.119527,-0.576533,-0.461031,-0.469112,-0.678778,-0.331987,-0.287958,-0.399680,-0.325677,-0.300000,-0.100000,-0.300000,0.000000,-0.552488,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.025584,0.000000,-0.088566,-0.200000,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.401084,-0.403555,-0.534630,-0.502243,-0.314699,-0.566753,-0.400000,-0.674263,-0.809628,-0.400000,-0.506194,-1.000000,-0.399452,-0.244883,-0.957186,-0.185955,-0.595556,-0.697771,-0.453048,-0.148510,-0.446434,-0.700000,-0.299452,-0.468109,-0.671209,-0.578778,-0.231987,-0.287958,-0.499680,-0.425677,-0.339547
0=30,0.000000,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.229668,-0.800000,-0.200000,-0.179333,-0.898307,-0.315872,-0.515248,-0.521463,-0.038410,-0.139258,-0.671209,-0.178134,-0.609695,-0.611823,-0.382827,-0.751535,-0.491054,-0.578665,-0.178644,-0.439080,-0.080912,-0.124683,-0.095685,-0.303820,-0.063018,-0.576533,-0.324020,-0.424874,-0.602878,-0.271325,-0.208639,-0.249787,-0.290581,-0.300000,-0.100000,-0.300000,0.000000,-0.506597,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.025584,0.000000,-0.059042,-0.161727,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.384056,-0.319036,-0.485758,-0.477154,-0.259799,-0.544047,-0.400000,-0.645785,-0.809628,-0.400000,-0.487463,-1.000000,-0.316301,-0.179922,-0.957186,-0.173970,-0.522973,-0.644282,-0.381058,-0.115673,-0.434297,-0.700000,-0.216301,-0.468109,-0.671209,-0.502878,-0.171325,-0.208639,-0.349787,-0.390581,-0.312847
0=40,0.000000,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.222251,-0.800000,-0.200000,-0.147000,-0.898307,-0.299404,-0.489392,-0.508764,-0.016308,-0.091943,-0.671209,-0.171101,-0.598330,-0.611823,-0.365025,-0.751535,-0.478486,-0.571904,-0.164695,-0.429438,-0.073184,-0.106012,-0.084264,-0.265365,-0.034763,-0.576533,-0.255515,-0.401732,-0.560245,-0.240994,-0.168979,-0.174840,-0.268565,-0.300000,-0.100000,-0.300000,0.000000,-0.435106,0.033307,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.025584,0.000000,-0.059042,-0.121295,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.375542,-0.276777,-0.465671,-0.461118,-0.232349,-0.532693,-0.400000,-0.625442,-0.809501,-0.400000,-0.478097,-1.000000,-0.274726,-0.147441,-0.957186,-0.167978,-0.486682,-0.617248,-0.345063,-0.099255,-0.427127,-0.700000,-0.174726,-0.468109,-0.671209,-0.460245,-0.140994,-0.168979,-0.274840,-0.368565,-0.298807
0=50,0.005477,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.217801,-0.800000,-0.200000,-0.127600,-0.898307,-0.289523,-0.472919,-0.499864,-0.003046,-0.063555,-0.671209,-0.166881,-0.590582,-0.611823,-0.353158,-0.751535,-0.469945,-0.566672,-0.153633,-0.423156,-0.068547,-0.094810,-0.077411,-0.242292,-0.017811,-0.576533,-0.214412,-0.385407,-0.534665,-0.222795,-0.145183,-0.129872,-0.253466,-0.300000,-0.100000,-0.300000,0.000000,-0.408594,0.051180,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.005477,-0.400000,0.000000,0.000000,0.117420,0.000000,-0.059042,-0.097036,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.370433,-0.251422,-0.451163,-0.449984,-0.215879,-0.525881,-0.400000,-0.611875,-0.807136,-0.400000,-0.472478,-1.000000,-0.249781,-0.127953,-0.957186,-0.164382,-0.464907,-0.603717,-0.323466,-0.089404,-0.422022,-0.700000,-0.149781,-0.468109,-0.671209,-0.434665,-0.122795,-0.145183,-0.229872,-0.353466,-0.289324
0=60,0.027621,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.214834,-0.800000,-0.200000,-0.114666,-0.898307,-0.282936,-0.459306,-0.493281,0.005795,-0.044629,-0.671209,-0.164067,-0.584961,-0.611823,-0.344681,-0.751535,-0.463761,-0.562776,-0.145898,-0.418740,-0.065456,-0.087341,-0.072843,-0.226910,-0.006509,-0.576533,-0.187010,-0.373276,-0.517612,-0.210662,-0.129319,-0.099893,-0.242467,-0.300000,-0.100000,-0.300000,0.000000,-0.402094,0.063988,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.027621,-0.400000,0.000000,0.000000,0.135394,0.000000,-0.057273,-0.080863,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.367028,-0.234518,-0.440152,-0.441802,-0.204900,-0.521340,-0.400000,-0.602182,-0.805401,-0.400000,-0.468731,-1.000000,-0.233151,-0.114961,-0.957186,-0.161985,-0.450390,-0.593053,-0.309068,-0.082837,-0.418201,-0.700000,-0.133151,-0.468109,-0.671209,-0.417612,-0.110662,-0.129319,-0.199893,-0.342467,-0.283010
0=70,0.037977,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.212715,-0.800000,-0.200000,-0.105428,-0.898307,-0.278231,-0.448734,-0.488213,0.012110,-0.031111,-0.671209,-0.162058,-0.580697,-0.611823,-0.338324,-0.751535,-0.459078,-0.559763,-0.140185,-0.415465,-0.063248,-0.082007,-0.069579,-0.215923,0.001564,-0.576533,-0.167437,-0.363908,-0.505299,-0.201996,-0.117988,-0.078480,-0.234097,-0.300000,-0.100000,-0.300000,0.000000,-0.391288,0.073137,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.037977,-0.400000,0.000000,0.000000,0.135394,0.000000,-0.054793,-0.069311,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.364595,-0.222444,-0.431509,-0.435536,-0.197057,-0.517698,-0.400000,-0.594912,-0.804072,-0.400000,-0.466055,-1.000000,-0.221272,-0.105681,-0.957186,-0.160273,-0.440021,-0.584431,-0.298784,-0.078146,-0.415235,-0.700000,-0.121272,-0.468109,-0.671209,-0.405299,-0.101996,-0.117988,-0.178480,-0.334097,-0.278586
0=80,0.037977,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.211125,-0.800000,-0.200000,-0.098500,-0.898307,-0.274702,-0.440286,-0.484192,0.016846,-0.020972,-0.671209,-0.160550,-0.577352,-0.611823,-0.333380,-0.751535,-0.455408,-0.557362,-0.135794,-0.412939,-0.061592,-0.078006,-0.067132,-0.207682,0.007618,-0.576533,-0.152758,-0.356454,-0.494870,-0.195497,-0.109490,-0.062420,-0.227514,-0.300000,-0.100000,-0.300000,0.000000,-0.382088,0.079998,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.037977,-0.400000,0.000000,0.000000,0.135394,0.000000,-0.052735,-0.060647,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.362771,-0.213389,-0.424545,-0.430583,-0.191175,-0.512963,-0.400000,-0.589256,-0.803023,-0.400000,-0.464048,-1.000000,-0.212363,-0.098721,-0.957186,-0.158989,-0.432245,-0.577316,-0.291071,-0.074627,-0.412865,-0.700000,-0.112363,-0.468109,-0.671209,-0.394870,-0.095497,-0.109490,-0.162420,-0.327514,-0.275323
0=90,0.037977,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.209889,-0.800000,-0.200000,-0.093111,-0.898307,-0.271957,-0.433380,-0.480924,0.020530,-0.013086,-0.671209,-0.159378,-0.574658,-0.611823,-0.329425,-0.751535,-0.452454,-0.555406,-0.132312,-0.410933,-0.060304,-0.074894,-0.065228,-0.201273,0.012327,-0.576533,-0.141340,-0.350382,-0.486122,-0.190442,-0.102880,-0.049929,-0.222201,-0.300000,-0.100000,-0.300000,0.000000,-0.374159,0.085335,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.037977,-0.400000,0.000000,0.000000,0.135394,0.000000,-0.051000,-0.053909,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.361352,-0.206345,-0.418814,-0.426570,-0.186600,-0.509208,-0.400000,-0.584731,-0.802173,-0.400000,-0.462488,-1.000000,-0.205434,-0.093307,-0.957186,-0.157990,-0.424455,-0.571345,-0.285072,-0.071891,-0.410928,-0.700000,-0.105434,-0.468109,-0.671209,-0.386122,-0.090442,-0.102880,-0.149929,-0.322201,-0.272717
0=100,0.037977,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.718679,-0.208900,-0.800000,-0.200000,-0.088800,-0.898307,-0.269762,-0.427630,-0.478215,0.023477,-0.006777,-0.671209,-0.158440,-0.572441,-0.611823,-0.326189,-0.751535,-0.450026,-0.553779,-0.129485,-0.409300,-0.059274,-0.072405,-0.063706,-0.196146,0.016095,-0.576533,-0.132206,-0.345341,-0.478681,-0.186397,-0.097592,-0.039936,-0.217824,-0.300000,-0.100000,-0.300000,0.000000,-0.367256,0.089604,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.037977,-0.400000,0.000000,0.000000,0.135394,0.000000,-0.049517,-0.048518,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.360217,-0.200711,-0.414015,-0.423252,-0.182940,-0.506157,-0.400000,-0.581029,-0.801470,-0.400000,-0.461239,-1.000000,-0.199890,-0.088977,-0.957186,-0.157191,-0.417171,-0.566262,-0.280272,-0.069702,-0.409315,-0.700000,-0.099890,-0.468109,-0.671209,-0.378681,-0.086397,-0.097592,-0.139936,-0.317824,-0.270587
10=20,0.000000,0.000000,0.000000,0.000000,0.000000,-0.900000,-0.783314,-0.200000,-0.800000,-0.200000,-0.050000,-0.899787,-0.250000,-0.364643,-0.449269,0.050000,-0.067774,-0.673271,-0.150000,-0.549640,-0.681383,-0.293830,-0.751804,-0.425152,-0.536168,-0.102205,-0.393401,-0.050000,-0.050000,-0.050000,-0.161459,0.050000,-0.578598,-0.422061,-0.290977,-0.643133,-0.150000,-0.075917,-0.399361,-0.172442,-0.300000,-0.100000,-0.300000,0.000000,-0.552488,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.025584,0.000000,-0.079479,-0.200000,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,-0.400000,-0.600000,0.000000,-0.350000,-0.207109,-0.426337,-0.388272,-0.150000,-0.476675,-0.400000,-0.543990,-0.794078,-0.400000,-0.450000,-1.000000,-0.198904,-0.050000,-0.958277,-0.150000,-0.467874,-0.666819,-0.290264,-0.050000,-0.391662,-0.700000,-0.098904,-0.468109,-0.673271,-0.543133,-0.050000,-0.075917,-0.499361,-0.272442,-0.284634
