,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,-0.171027,0.000000,0.000000,-0.100000,-0.100000,-0.400000,-0.400000,0.195920,-0.300000,-0.133486,-0.500000,-0.353103,-0.400000,-0.408954,0.079196,0.143568,0.129914,0.100000,0.000000,-0.500000,-0.233770,-0.500000,-0.500000,-0.500000,-0.300000,-0.320765,-0.500000,-0.012661,-0.114858,-0.119882,-0.224067,-0.111704,-0.306891,-0.223791,-0.400000,-0.109593,-0.232495,-0.144120,-0.161780,-0.178844,-0.133486,-0.011017,-0.100000,0.102344,-0.165092,0.141967,0.011092,0.059183,-0.061120,-0.153243,-0.100000,-0.232328,0.000000,0.028973,-0.100000,0.000000,0.000000,-0.101285,0.000000,-0.069166,0.190917,0.000000,0.000000,0.000000,-0.165743,0.000000,0.000000,-0.100000,-0.138370,-0.132042,-0.389203,0.127926,-0.500000,-0.500000,-0.347239,-0.526010,-0.024652,-0.600000,-0.500000,-0.415689,0.500365,-0.500000,-0.324826,-0.323283,0.431261,-0.308744,-0.341629,-0.335775,-0.313178,-0.393911,-0.002219,-0.400000,-0.224826,-0.302579,-0.300000,-0.209593,-0.332495,-0.144120,-0.261780,-0.178844,-0.174826
0=20,-0.171027,0.000000,0.000000,-0.100000,-0.100000,-0.252566,-0.216709,0.195920,-0.181494,-0.133486,-0.327439,-0.282991,-0.310969,-0.311262,0.079196,0.208443,0.175375,0.100000,0.000000,-0.500000,-0.153621,-0.477829,-0.441818,-0.324326,-0.171302,-0.320765,-0.364433,0.097778,-0.024433,-0.119882,-0.102112,-0.035082,-0.306891,-0.066932,-0.289477,0.049604,-0.204345,-0.041980,-0.055951,-0.104850,-0.133486,0.041694,-0.025461,0.102344,-0.032546,0.141967,0.011092,0.074359,0.004909,-0.191509,-0.100000,-0.185594,0.000000,0.028973,0.001850,0.000000,0.000000,0.041995,0.000000,-0.069166,0.190917,0.000000,0.000000,0.000000,-0.038598,0.000000,0.000000,-0.072660,-0.138370,-0.086216,-0.269602,0.165014,-0.373153,-0.419304,-0.254996,-0.388005,-0.010277,-0.434252,-0.500000,-0.289430,0.625183,-0.447354,-0.176590,-0.185017,0.590631,-0.235306,-0.206958,-0.204574,-0.187886,-0.217942,-0.002219,-0.347354,-0.076590,-0.281728,-0.300000,-0.050396,-0.304345,-0.041980,-0.155951,-0.104850,-0.111064
0=30,-0.171027,0.000000,0.000000,-0.100000,-0.100000,-0.212571,-0.178088,0.195920,-0.087663,0.066038,-0.281356,-0.256374,-0.235938,-0.280441,0.178010,0.230068,0.206480,0.169638,0.149842,-0.400427,-0.126905,-0.344483,-0.344546,-0.277380,-0.114354,-0.276214,-0.301555,0.155042,0.038310,-0.002072,-0.063474,-0.002083,-0.201104,-0.039332,-0.229192,0.083687,-0.086254,-0.024863,-0.016838,-0.073719,0.066038,0.090750,0.116359,0.191131,0.011636,0.141967,0.049872,0.074359,0.136538,-0.205921,-0.100000,-0.213719,0.000000,0.028973,0.107565,0.000000,0.000000,0.123403,0.000000,-0.069166,0.190917,0.000000,0.000000,0.000000,-0.015087,0.000000,0.000000,0.051560,0.031371,-0.114055,-0.229734,0.194968,-0.310720,-0.336165,-0.224248,-0.342003,-0.004635,-0.372835,-0.382549,-0.253023,0.666788,-0.358225,-0.157549,-0.153513,0.643754,-0.156216,-0.165410,-0.169990,-0.149535,-0.173877,-0.002219,-0.258225,-0.057549,-0.170862,-0.230362,-0.016313,-0.186254,-0.024863,-0.116838,-0.073719,-0.062326
0=40,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.190130,-0.152711,0.195920,-0.040747,0.106903,-0.256869,-0.238012,-0.198422,-0.259829,0.229622,0.240880,0.225959,0.250589,0.186160,-0.352471,-0.113546,-0.308504,-0.295909,-0.253907,-0.086705,-0.184105,-0.270116,0.175906,0.056440,0.035675,-0.044155,0.018532,-0.160364,-0.016650,-0.199049,0.101451,-0.074410,-0.003104,0.000699,-0.054105,0.106903,0.106782,0.187269,0.220257,0.033727,0.164521,0.064695,0.074359,0.169450,-0.213127,-0.100000,-0.213908,0.000000,0.022464,0.159289,0.000000,0.000000,0.164107,0.000000,0.015559,0.190917,0.000000,0.000000,0.000000,0.002840,0.000000,0.000000,0.113670,0.081180,-0.114029,-0.209801,0.213788,-0.279503,-0.294596,-0.208874,-0.319002,0.001012,-0.342126,-0.341051,-0.238006,0.687591,-0.318026,-0.141448,-0.136954,0.670315,-0.121022,-0.144636,-0.149498,-0.131613,-0.151844,0.064237,-0.218026,-0.041448,-0.134550,-0.149411,0.001451,-0.174410,-0.003104,-0.099301,-0.054105,-0.038337
0=50,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.173424,-0.134493,0.294211,-0.012598,0.128667,-0.235903,-0.225603,-0.175913,-0.245199,0.243045,0.248045,0.239303,0.281385,0.205718,-0.331342,-0.105532,-0.287257,-0.266727,-0.239823,-0.070116,-0.165005,-0.251253,0.188168,0.067031,0.050841,-0.032563,0.032634,-0.135920,-0.000170,-0.180963,0.113859,-0.062861,0.014148,0.014317,-0.040616,0.128667,0.113241,0.229816,0.232218,0.046982,0.203981,0.064695,0.072498,0.189196,-0.217399,-0.100000,-0.209104,0.000000,0.022464,0.190324,0.000000,0.000000,0.188529,0.000000,0.065562,0.245780,0.000000,0.000000,0.000000,0.021483,0.000000,0.000000,0.150936,0.110208,-0.109253,-0.197841,0.226710,-0.260772,-0.269654,-0.199649,-0.305202,0.010922,-0.323701,-0.316153,-0.228379,0.700073,-0.293907,-0.124537,-0.125793,0.686252,-0.099905,-0.132172,-0.132965,-0.120691,-0.138624,0.119335,-0.193907,-0.024537,-0.112762,-0.118615,0.013859,-0.162861,0.014148,-0.085683,-0.040616,-0.022262
0=60,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.160727,-0.120780,0.337957,0.006169,0.145755,-0.219794,-0.216656,-0.160906,-0.234413,0.251994,0.254391,0.249017,0.298934,0.222184,-0.316570,-0.100188,-0.270563,-0.247273,-0.230434,-0.056136,-0.151689,-0.238678,0.197339,0.074926,0.060951,-0.022737,0.042887,-0.119625,0.012346,-0.168906,0.123017,-0.054280,0.027221,0.024850,-0.030769,0.145755,0.120201,0.258180,0.240192,0.055818,0.221025,0.064695,0.070916,0.202361,-0.218465,-0.100000,-0.205592,0.000000,0.022464,0.211014,0.000000,0.000000,0.204810,0.000000,0.082814,0.293092,0.000000,0.000000,0.000000,0.035704,0.000000,0.000000,0.175780,0.131023,-0.105764,-0.189867,0.236131,-0.248286,-0.253027,-0.193500,-0.296002,0.019799,-0.311417,-0.299553,-0.221300,0.708394,-0.277827,-0.111418,-0.111737,0.696877,-0.085828,-0.123862,-0.120676,-0.112705,-0.129811,0.141345,-0.177827,-0.011418,-0.098238,-0.101066,0.023017,-0.154280,0.027221,-0.075150,-0.030769,-0.011455
0=70,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.150749,-0.110085,0.361694,0.019573,0.159302,-0.207030,-0.209899,-0.150188,-0.226132,0.259398,0.259126,0.256404,0.313245,0.235657,-0.304328,-0.096372,-0.256939,-0.233377,-0.223728,-0.044072,-0.142178,-0.229695,0.204456,0.081037,0.068629,-0.013511,0.050679,-0.107985,0.022174,-0.160293,0.130054,-0.046006,0.037469,0.033241,-0.023265,0.159302,0.126514,0.278440,0.245888,0.062130,0.220156,0.064695,0.069671,0.211764,-0.219311,-0.100000,-0.202912,0.000000,0.022464,0.225793,0.000000,0.000000,0.216440,0.000000,0.095137,0.292169,0.000000,0.000000,0.000000,0.046909,0.000000,0.000000,0.193526,0.148335,-0.103102,-0.184172,0.243304,-0.239366,-0.241150,-0.189107,-0.289430,0.026851,-0.302644,-0.287697,-0.212750,0.714338,-0.266342,-0.100944,-0.099709,0.704466,-0.075772,-0.116634,-0.111181,-0.106550,-0.121183,0.156053,-0.166342,-0.000944,-0.087863,-0.086755,0.030054,-0.146006,0.037469,-0.066759,-0.023265,-0.003773
0=80,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.142703,-0.101509,0.376652,0.029627,0.170306,-0.196667,-0.204617,-0.142148,-0.219575,0.270326,0.265619,0.262211,0.325407,0.246885,-0.294018,-0.093509,-0.245610,-0.222955,-0.216300,-0.034210,-0.135044,-0.222958,0.210141,0.085909,0.079873,-0.006178,0.056800,-0.099255,0.030097,-0.151274,0.135630,-0.036317,0.045720,0.040082,-0.017357,0.170306,0.131701,0.293635,0.250160,0.066864,0.212935,0.064695,0.068664,0.218817,-0.219997,-0.100000,-0.200801,0.000000,0.022464,0.236877,0.000000,0.000000,0.225162,0.000000,0.104379,0.288904,0.000000,0.000000,0.000000,0.055967,0.000000,0.000000,0.206835,0.162786,-0.101005,-0.179900,0.248948,-0.232677,-0.232242,-0.185813,-0.284501,0.032587,-0.296063,-0.278805,-0.202481,0.718796,-0.257728,-0.092390,-0.089759,0.710158,-0.068230,-0.109146,-0.103626,-0.101662,-0.113270,0.167083,-0.157728,0.007610,-0.080081,-0.074593,0.035630,-0.136317,0.045720,-0.059918,-0.017357,0.002431
0=90,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.136076,-0.094481,0.387905,0.037446,0.179421,-0.188085,-0.200373,-0.135896,-0.214253,0.279764,0.272224,0.266897,0.335869,0.256386,-0.285216,-0.091283,-0.236040,-0.214849,-0.209663,-0.025998,-0.129265,-0.217718,0.214786,0.094500,0.089564,-0.000211,0.061736,-0.092465,0.036618,-0.143650,0.140158,-0.028025,0.052504,0.045766,-0.012584,0.179421,0.136039,0.305453,0.253368,0.070545,0.208431,0.064695,0.067834,0.224289,-0.220566,-0.100000,-0.199094,0.000000,0.022464,0.245497,0.000000,0.000000,0.231946,0.000000,0.111567,0.294148,0.000000,0.000000,0.000000,0.063440,0.000000,0.000000,0.217187,0.175032,-0.099311,-0.176578,0.253504,-0.227474,-0.225314,-0.183251,-0.280668,0.037345,-0.290945,-0.270991,-0.193780,0.722263,-0.251028,-0.085270,-0.081391,0.714585,-0.062365,-0.103043,-0.097471,-0.093905,-0.106797,0.175662,-0.151028,0.014730,-0.073020,-0.064131,0.040158,-0.128025,0.052504,-0.054234,-0.012584,0.007677
0=100,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.130524,-0.088615,0.396813,0.043701,0.187096,-0.180862,-0.196889,-0.130894,-0.209848,0.287998,0.277728,0.270756,0.344965,0.264531,-0.277613,-0.089502,-0.227850,-0.208364,-0.204126,-0.019054,-0.123106,-0.213526,0.220634,0.102428,0.098003,0.004741,0.065801,-0.087033,0.042081,-0.137205,0.143907,-0.020848,0.058181,0.050565,-0.008649,0.187096,0.139721,0.314908,0.255626,0.073491,0.211200,0.064695,0.067138,0.229051,-0.221044,-0.100000,-0.198208,0.000000,0.022464,0.253944,0.000000,0.000000,0.237373,0.000000,0.117317,0.298342,0.000000,0.000000,0.000000,0.069711,0.000000,0.000000,0.225468,0.185542,-0.098553,-0.173920,0.257260,-0.223312,-0.219771,-0.181201,-0.277601,0.041355,-0.286850,-0.263383,-0.186313,0.725037,-0.245668,-0.079253,-0.074255,0.718126,-0.057672,-0.097973,-0.092359,-0.086129,-0.101405,0.182526,-0.145668,0.020747,-0.066430,-0.055035,0.043907,-0.120848,0.058181,-0.049435,-0.008649,0.012172
