,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,-0.094339,-0.065593,0.033508,-0.140884,0.097145,0.296918,0.119020,0.000000,0.302720,-0.245842,0.343892,0.419800,0.300000,0.507084,0.400000,0.500000,0.200000,0.471804,0.200000,0.400000,0.300000,0.400000,0.200000,0.117998,0.603824,0.300000,0.218672,0.400000,0.300000,0.500000,0.200000,0.300000,0.400000,0.500000,0.400000,0.500000,0.400000,0.200000,0.400000,0.559508,-0.345842,0.138024,0.176273,0.111386,-0.881043,0.200000,0.222836,0.176026,0.700000,-0.055431,0.059116,0.158548,0.140605,0.005661,-0.448549,0.134407,0.133508,-0.041021,0.139707,0.410071,0.400000,0.127449,0.149696,0.036328,-0.186995,0.025309,0.023587,-0.109194,0.375391,-0.041456,0.101268,0.200000,0.100000,0.000000,0.100000,0.200000,-0.400000,0.200000,0.200000,0.169754,0.000000,0.327414,0.400000,0.100000,0.300000,0.200000,0.000000,0.300000,0.000000,0.400000,0.089270,0.227414,0.100000,0.300000,0.371804,0.400000,0.200000,-0.100000,0.300000,0.459508,0.184261
0=20,-0.112136,-0.082797,0.016754,-0.170442,0.073573,0.281489,0.119020,-0.013916,0.302720,-0.272921,0.189495,0.419800,0.300000,0.507084,0.400000,0.500000,0.200000,0.471804,0.200000,0.400000,0.300000,0.400000,0.200000,0.117998,0.603824,0.300000,0.218672,0.400000,0.300000,0.500000,0.200000,0.300000,0.400000,0.500000,0.400000,0.500000,0.400000,0.200000,0.400000,0.559508,-0.372921,0.113703,-0.069304,-0.012038,-0.890522,0.152962,0.177543,0.138013,0.441126,-0.077715,0.029558,0.129274,0.113719,-0.012136,-0.474274,0.117203,0.116754,-0.072534,0.119854,0.410071,0.374173,0.113724,0.128869,0.018164,-0.231531,0.012845,0.011794,-0.139016,0.278319,-0.070728,0.101268,0.200000,0.100000,0.000000,0.100000,0.200000,-0.425505,0.200000,0.200000,0.081607,0.000000,0.327414,0.400000,0.100000,0.300000,0.200000,0.000000,0.300000,0.000000,0.400000,0.089270,0.227414,0.100000,0.300000,0.371804,0.400000,0.200000,-0.100000,0.300000,0.459508,0.166373
0=30,-0.119979,-0.088531,0.011169,-0.180295,0.065715,0.054935,-0.028327,-0.042610,0.119659,-0.281947,0.127188,0.338379,0.300000,0.507084,0.400000,0.500000,0.200000,0.391593,0.200000,0.400000,0.251090,0.400000,0.070354,0.117998,0.553778,0.300000,0.139901,0.400000,0.300000,0.500000,0.200000,0.300000,0.400000,0.500000,0.400000,0.500000,0.400000,0.200000,0.400000,0.559508,-0.381947,0.094608,-0.151163,-0.054962,-0.893681,0.135308,0.174436,0.125342,0.294084,-0.085144,0.019705,0.119516,0.101886,-0.019979,-0.482850,0.111469,0.111169,-0.097114,0.113236,0.286643,0.349449,0.109150,0.117964,0.012109,-0.245917,0.008691,0.007862,-0.148956,0.259877,-0.080485,0.101268,0.200000,0.100000,-0.083577,0.100000,0.163962,-0.450337,0.200000,0.077800,-0.073132,0.000000,0.232174,0.400000,0.100000,0.257947,0.200000,0.000000,0.283402,0.000000,0.400000,-0.037901,0.132174,0.100000,0.257107,0.291593,0.400000,0.200000,-0.100000,0.300000,0.459508,0.138890
0=40,-0.125148,-0.091398,0.008377,-0.185221,0.061786,-0.058342,-0.102221,-0.056958,0.001702,-0.286461,0.099551,0.238782,0.166130,0.362668,0.260370,0.500000,0.200000,0.257173,0.075537,0.230356,0.088317,0.243236,-0.072234,0.021738,0.404543,0.226758,0.037017,0.400000,0.259692,0.481760,0.049855,0.300000,0.262477,0.403413,0.256252,0.361725,0.400000,0.200000,0.328454,0.441723,-0.386461,0.072009,-0.192093,-0.075679,-0.895261,0.126481,0.172537,0.119006,0.220563,-0.088858,0.014779,0.114637,0.094663,-0.025148,-0.487137,0.108602,0.108377,-0.111851,0.109927,0.253138,0.337087,0.106862,0.111154,0.009082,-0.253110,0.006613,0.005897,-0.153927,0.249086,-0.085364,-0.020486,0.200000,0.011426,-0.237683,-0.002648,-0.002029,-0.462752,0.191249,-0.066650,-0.142004,-0.121936,0.152836,0.400000,0.071255,0.093460,0.200000,-0.169505,0.112552,-0.140865,0.253146,-0.048762,0.052836,0.100000,0.092830,0.157173,0.261725,0.200000,-0.100000,0.228454,0.341723,0.078424
0=50,-0.128469,-0.093119,0.006702,-0.188177,0.059429,-0.126308,-0.149179,-0.065566,-0.069072,-0.289168,0.079415,0.176412,0.052904,0.269991,0.148296,0.428432,0.099212,0.176815,-0.039571,0.124285,-0.009346,0.134589,-0.157788,-0.060259,0.315003,0.101406,-0.026883,0.291969,0.127754,0.345408,-0.060116,0.300000,0.149982,0.282731,0.145002,0.249380,0.274432,0.095702,0.202763,0.400863,-0.389168,0.056423,-0.216651,-0.087982,-0.896209,0.121185,0.171255,0.115205,0.176450,-0.091086,0.011823,0.111710,0.089795,-0.028469,-0.489710,0.106881,0.106702,-0.121671,0.107941,0.246743,0.329669,0.105490,0.106497,0.007266,-0.257425,0.005367,0.004717,-0.156909,0.240456,-0.088291,-0.132431,0.131700,-0.110859,-0.330146,-0.122118,-0.101623,-0.470202,0.052999,-0.153320,-0.183328,-0.237549,0.098929,0.345462,-0.062996,-0.005232,0.091815,-0.275604,0.010041,-0.252692,0.142516,-0.055279,-0.001071,0.045462,-0.005736,0.076815,0.149380,0.074432,-0.204298,0.102763,0.300863,0.018926
0=60,-0.130782,-0.094266,0.005585,-0.190147,0.057858,-0.171619,-0.180485,-0.071305,-0.116255,-0.290974,0.064089,0.134832,-0.022580,0.208206,0.073580,0.323693,-0.000657,0.123242,-0.116309,0.053571,-0.074455,0.062157,-0.214823,-0.114924,0.255309,0.017839,-0.069482,0.193308,0.039795,0.254506,-0.133430,0.206304,0.074985,0.202275,0.070835,0.174483,0.178694,-0.003582,0.118969,0.398641,-0.390974,0.045023,-0.233022,-0.099235,-0.896841,0.117654,0.170333,0.112671,0.147042,-0.092572,0.009853,0.109758,0.086292,-0.030782,-0.491425,0.105734,0.105585,-0.128682,0.106618,0.242479,0.324724,0.104575,0.103111,0.006055,-0.260302,0.004536,0.003931,-0.158897,0.226356,-0.090243,-0.207061,0.026417,-0.192382,-0.391789,-0.201765,-0.168019,-0.475168,-0.039167,-0.211100,-0.210876,-0.314624,0.062991,0.237885,-0.152496,-0.071027,-0.006821,-0.346337,-0.058299,-0.327243,0.068764,-0.059623,-0.037009,-0.062115,-0.071447,0.023242,0.074483,-0.021306,-0.303582,0.018969,0.298641,-0.025618
0=70,-0.132486,-0.095085,0.004787,-0.191555,0.056735,-0.203984,-0.199155,-0.075404,-0.149957,-0.292263,0.052035,0.105132,-0.076497,0.164074,0.020211,0.248880,-0.071992,0.084976,-0.171122,0.003060,-0.120961,0.010420,-0.255563,-0.153970,0.212670,-0.041853,-0.099911,0.122835,-0.023033,0.189577,-0.185797,0.119689,0.021416,0.144808,0.017858,0.120986,0.110309,-0.074499,0.059116,0.398641,-0.392263,0.036323,-0.244717,-0.109404,-0.897292,0.115132,0.168612,0.110861,0.126036,-0.093633,0.008445,0.108364,0.083650,-0.032486,-0.492650,0.104915,0.104787,-0.133940,0.105672,0.229585,0.321192,0.103921,0.100538,0.005190,-0.262358,0.003943,0.003370,-0.160317,0.215398,-0.091637,-0.260368,-0.048786,-0.250613,-0.435819,-0.258656,-0.215445,-0.478716,-0.105001,-0.252372,-0.230191,-0.369678,0.037321,0.161044,-0.216425,-0.118023,-0.077275,-0.396860,-0.107113,-0.380494,0.016083,-0.062843,-0.062679,-0.138956,-0.118383,-0.015024,0.020986,-0.089691,-0.374499,-0.040884,0.298641,-0.057724
0=80,-0.133794,-0.095699,0.004188,-0.192610,0.055893,-0.228258,-0.212196,-0.078479,-0.175233,-0.293230,0.042305,0.082857,-0.116935,0.130975,-0.019815,0.192770,-0.125493,0.056277,-0.212232,-0.034822,-0.155841,-0.028382,-0.286117,-0.183255,0.180692,-0.086621,-0.122732,0.069981,-0.070154,0.140880,-0.225072,0.054728,-0.018761,0.101707,-0.021874,0.080862,0.059020,-0.127686,0.014227,0.394033,-0.393230,0.029465,-0.253487,-0.117846,-0.897630,0.113241,0.161060,0.109503,0.110282,-0.094429,0.007390,0.107318,0.081586,-0.033794,-0.493569,0.104301,0.104188,-0.138028,0.104963,0.218354,0.318543,0.103431,0.098517,0.004541,-0.263899,0.003497,0.002948,-0.162134,0.206637,-0.092682,-0.300348,-0.105188,-0.294287,-0.468841,-0.301324,-0.251014,-0.481376,-0.154376,-0.283325,-0.242593,-0.410968,0.018068,0.103414,-0.264372,-0.153270,-0.130116,-0.434753,-0.143724,-0.420432,-0.023427,-0.073242,-0.081932,-0.196586,-0.153585,-0.043723,-0.019138,-0.140980,-0.427686,-0.085773,0.294033,-0.082057
0=90,-0.134829,-0.096177,0.003723,-0.193432,0.055238,-0.247137,-0.223322,-0.080870,-0.194892,-0.293982,0.034287,0.065532,-0.148387,0.105231,-0.050947,0.149129,-0.167105,0.033955,-0.244206,-0.064286,-0.182970,-0.058562,-0.309882,-0.206032,0.155819,-0.121441,-0.140482,0.028872,-0.106803,0.103004,-0.255620,0.004203,-0.050010,0.068184,-0.052777,0.049655,0.019129,-0.169055,-0.020687,0.386195,-0.393982,0.023920,-0.260309,-0.124965,-0.897894,0.111769,0.154792,0.108447,0.098028,-0.095048,0.006568,0.106505,0.079930,-0.034829,-0.494283,0.103823,0.103723,-0.141298,0.104412,0.208796,0.316483,0.103050,0.096888,0.004036,-0.265098,0.003151,0.002621,-0.164884,0.199472,-0.093495,-0.331444,-0.149056,-0.328255,-0.494526,-0.334510,-0.278679,-0.483446,-0.192778,-0.307400,-0.253025,-0.443083,0.003131,0.058590,-0.301664,-0.180684,-0.171214,-0.464225,-0.172199,-0.451495,-0.054158,-0.082060,-0.096869,-0.241410,-0.180964,-0.066045,-0.050345,-0.180871,-0.469055,-0.120687,0.286195,-0.101136
0=100,-0.135669,-0.096559,0.003351,-0.194088,0.054715,-0.262241,-0.232927,-0.082783,-0.210620,-0.294584,0.027565,0.051672,-0.173548,0.084636,-0.075852,0.114216,-0.200394,0.016097,-0.269785,-0.087858,-0.204673,-0.082706,-0.328894,-0.224254,0.135921,-0.149297,-0.154682,-0.004015,-0.136123,0.072704,-0.280058,-0.036218,-0.075009,0.041365,-0.077499,0.024690,-0.012784,-0.202149,-0.048619,0.379334,-0.394584,0.019344,-0.265766,-0.131051,-0.898104,0.110592,0.149508,0.107603,0.088225,-0.095543,0.005912,0.105855,0.078571,-0.035669,-0.494855,0.103441,0.103351,-0.143973,0.103971,0.200561,0.314835,0.102745,0.095546,0.003633,-0.266057,0.002874,0.002359,-0.167152,0.193504,-0.094146,-0.356321,-0.184150,-0.355429,-0.515073,-0.361059,-0.300811,-0.485101,-0.223500,-0.326660,-0.261923,-0.468775,-0.009315,0.022731,-0.331498,-0.202616,-0.204093,-0.487802,-0.194979,-0.476346,-0.078742,-0.089633,-0.109315,-0.277269,-0.202868,-0.083903,-0.075310,-0.212784,-0.502149,-0.148619,0.279334,-0.116461
