,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,-0.037724,-0.079564,0.038617,-0.124062,0.091707,0.396302,0.186918,0.000000,0.399461,-0.200000,0.400000,0.535458,0.400000,0.615513,0.500000,0.600000,0.300000,0.536708,0.300000,0.500000,0.400000,0.500000,0.300000,0.200000,0.700000,0.400000,0.300000,0.500000,0.400000,0.600000,0.300000,0.400000,0.500000,0.600000,0.500000,0.600000,0.500000,0.300000,0.393297,0.669419,-0.300000,0.270724,0.405953,0.146611,-0.800000,0.200000,0.280212,0.200000,0.800000,-0.032317,0.075938,0.197283,0.152303,0.062276,-0.400000,0.120436,0.138617,-0.004233,0.156383,0.456277,0.400000,0.116282,0.172515,0.035325,-0.203565,0.013225,0.026659,-0.116096,0.602219,-0.002837,0.203092,0.300000,0.200000,0.100000,0.200000,0.300000,-0.400000,0.300000,0.300000,0.243704,0.100000,0.440634,0.500000,0.200000,0.400000,0.300000,0.100000,0.400000,0.100000,0.500000,0.124953,0.340634,0.200000,0.400000,0.436708,0.500000,0.300000,0.000000,0.293297,0.569419,0.255447
0=20,-0.083828,-0.089782,0.019309,-0.162031,0.070854,0.079566,0.075510,-0.017509,0.399461,-0.243614,0.400000,0.404184,0.235584,0.463203,0.305507,0.574778,0.267283,0.501022,0.217570,0.308730,0.305991,0.476544,0.172475,0.200000,0.700000,0.261848,0.300000,0.473796,0.293922,0.525616,0.169761,0.371544,0.330916,0.435118,0.361351,0.466125,0.456849,0.274259,0.342916,0.566473,-0.343614,0.148979,0.347432,-0.023815,-0.831475,0.154586,0.196025,0.163305,0.764472,-0.066159,0.037969,0.148642,0.119746,0.016172,-0.425440,0.110218,0.119309,-0.030320,0.128192,0.314276,0.364213,0.108141,0.135363,0.017663,-0.242291,0.006803,0.013330,-0.146362,0.404188,-0.051419,0.109036,0.253880,0.054711,-0.058332,0.068152,0.274373,-0.442721,0.262315,0.097864,-0.042756,0.027853,0.341286,0.453020,0.111471,0.325843,0.278475,-0.006076,0.276149,-0.082654,0.358580,-0.007273,0.241286,0.153020,0.248930,0.401022,0.366125,0.256849,-0.025741,0.242916,0.466473,0.178735
0=30,-0.099197,-0.093188,0.012872,-0.174687,0.063902,-0.079680,-0.023868,-0.045006,0.176174,-0.262409,0.367422,0.322818,0.196873,0.407644,0.289830,0.549852,0.244855,0.370561,0.109904,0.261320,0.189651,0.314189,0.026982,0.065416,0.528521,0.245061,0.167413,0.449197,0.277227,0.507638,0.090041,0.347696,0.294084,0.421181,0.293159,0.396940,0.437899,0.249506,0.332925,0.533219,-0.362409,0.135588,0.128434,-0.063321,-0.854317,0.136391,0.182520,0.142204,0.509648,-0.077439,0.025313,0.132428,0.107446,0.000803,-0.450294,0.106812,0.112872,-0.043542,0.118794,0.305641,0.342809,0.105427,0.124773,0.011775,-0.255199,0.004663,0.008886,-0.156451,0.327846,-0.067612,0.015089,0.235920,0.032896,-0.170139,0.022401,0.113632,-0.461814,0.236781,-0.020768,-0.144711,-0.087655,0.253411,0.435347,0.093539,0.200249,0.252317,-0.109652,0.184396,-0.109471,0.291059,-0.018608,0.153411,0.135347,0.156499,0.270561,0.296940,0.237899,-0.050494,0.232925,0.433219,0.126150
0=40,-0.106881,-0.094891,0.009654,-0.181016,0.060427,-0.159304,-0.071392,-0.058754,0.057216,-0.271807,0.175567,0.282136,0.185216,0.385193,0.265801,0.537389,0.233641,0.310846,0.101256,0.230559,0.125012,0.283894,-0.047078,-0.002083,0.459175,0.236668,0.067369,0.436898,0.268879,0.498649,0.077165,0.335772,0.279261,0.414213,0.281980,0.389431,0.428424,0.237129,0.327929,0.518805,-0.371807,0.128892,0.018935,-0.081484,-0.865738,0.127293,0.180831,0.131653,0.382236,-0.083079,0.018984,0.124321,0.099523,-0.006881,-0.462720,0.105109,0.109654,-0.064839,0.114096,0.287741,0.332107,0.104071,0.117238,0.008831,-0.261653,0.003592,0.006665,-0.161495,0.292921,-0.075709,0.006973,0.226940,0.024468,-0.229307,0.014073,0.053811,-0.471361,0.224014,-0.080084,-0.195688,-0.096540,0.207758,0.426510,0.084573,0.135983,0.239237,-0.137845,0.137645,-0.130180,0.277673,-0.024275,0.107758,0.126510,0.105640,0.210846,0.289431,0.228424,-0.062871,0.227929,0.418805,0.101145
0=50,-0.111491,-0.095913,0.007723,-0.184812,0.058341,-0.207078,-0.095207,-0.067003,-0.014159,-0.277446,0.060453,0.257726,0.165728,0.369018,0.246402,0.529911,0.226913,0.273962,0.095985,0.207977,0.091115,0.267420,-0.091513,-0.008588,0.411820,0.231632,0.004392,0.429518,0.263871,0.493256,0.055486,0.328617,0.259469,0.407006,0.261081,0.369073,0.422739,0.229703,0.318294,0.504406,-0.377446,0.115178,-0.046764,-0.097792,-0.872590,0.121835,0.179652,0.125322,0.305789,-0.086463,0.015188,0.119457,0.094083,-0.011491,-0.470176,0.104087,0.107723,-0.080026,0.111277,0.275326,0.325685,0.103256,0.111947,0.007065,-0.265526,0.002950,0.005332,-0.164522,0.280115,-0.080567,-0.000485,0.221552,0.019412,-0.263498,0.009076,0.016159,-0.477088,0.216354,-0.115674,-0.223468,-0.101871,0.180367,0.421208,0.079194,0.101884,0.231390,-0.161841,0.111853,-0.150033,0.256471,-0.040526,0.080367,0.121208,0.078105,0.173962,0.269073,0.222739,-0.070297,0.218294,0.404406,0.084820
0=60,-0.114565,-0.096594,0.006436,-0.187344,0.056951,-0.238927,-0.105187,-0.072503,-0.061742,-0.281205,-0.016289,0.242954,0.150644,0.356810,0.231579,0.524926,0.222428,0.251350,0.080813,0.190695,0.068471,0.249124,-0.121137,-0.015408,0.383181,0.228274,-0.037593,0.424599,0.260532,0.489660,0.038527,0.323848,0.244176,0.395351,0.244771,0.353163,0.418950,0.224753,0.310311,0.493088,-0.381205,0.098322,-0.090564,-0.110396,-0.877158,0.118195,0.178782,0.121102,0.254824,-0.088720,0.012656,0.116214,0.090116,-0.014565,-0.475147,0.103406,0.106436,-0.091402,0.109397,0.266210,0.321404,0.102714,0.108026,0.005888,-0.268108,0.002522,0.004443,-0.166539,0.270661,-0.083806,-0.014666,0.217960,0.016041,-0.287265,0.000268,-0.006132,-0.480907,0.211247,-0.140454,-0.241542,-0.114515,0.163045,0.417673,0.075607,0.079505,0.226158,-0.180723,0.091643,-0.165287,0.239938,-0.052818,0.063045,0.117673,0.056697,0.151350,0.253163,0.218950,-0.075247,0.210311,0.393088,0.073054
0=70,-0.117833,-0.097081,0.005517,-0.189152,0.055958,-0.261676,-0.112964,-0.076431,-0.095730,-0.283890,-0.071105,0.235177,0.138624,0.347269,0.219884,0.521365,0.219224,0.234666,0.068517,0.177044,0.050152,0.234188,-0.142297,-0.029866,0.363519,0.224967,-0.067583,0.421085,0.258147,0.487092,0.024898,0.320441,0.232006,0.386126,0.231687,0.340387,0.416242,0.221217,0.304165,0.483958,-0.383890,0.085008,-0.121849,-0.120430,-0.880422,0.115596,0.178113,0.118087,0.218420,-0.090331,0.010848,0.113898,0.087097,-0.017833,-0.478697,0.102919,0.105517,-0.100242,0.108055,0.259231,0.318347,0.102326,0.105006,0.005046,-0.269952,0.002216,0.003808,-0.167981,0.263394,-0.086120,-0.026090,0.215394,0.006893,-0.306238,-0.010110,-0.024324,-0.483635,0.207599,-0.160486,-0.255740,-0.126698,0.153288,0.415149,0.073046,0.061346,0.222421,-0.195968,0.075380,-0.177374,0.226684,-0.062396,0.053288,0.115149,0.039575,0.134666,0.240387,0.216242,-0.078783,0.204165,0.383958,0.063999
0=80,-0.120547,-0.097445,0.004827,-0.190508,0.055213,-0.278739,-0.119195,-0.079377,-0.121221,-0.285904,-0.112217,0.219901,0.128819,0.339607,0.210422,0.518695,0.216821,0.221066,0.058350,0.165987,0.035027,0.221764,-0.159962,-0.042052,0.347093,0.218387,-0.090075,0.418449,0.256358,0.485166,0.013706,0.317886,0.222090,0.378641,0.220959,0.329902,0.414212,0.218565,0.299287,0.476438,-0.385904,0.074224,-0.145313,-0.128606,-0.882869,0.113647,0.177584,0.115826,0.191118,-0.091540,0.009492,0.112160,0.084720,-0.020547,-0.481360,0.102555,0.104827,-0.107310,0.107048,0.253718,0.316053,0.102035,0.102606,0.004416,-0.271335,0.001987,0.003332,-0.169373,0.257634,-0.087855,-0.035488,0.213470,-0.000715,-0.321734,-0.018631,-0.039454,-0.485680,0.204863,-0.176747,-0.267188,-0.136784,0.145524,0.413255,0.071124,0.046316,0.219619,-0.208534,0.062011,-0.187188,0.215821,-0.070070,0.045524,0.113255,0.025569,0.121066,0.229902,0.214212,-0.081435,0.199287,0.376438,0.056670
0=90,-0.122746,-0.097729,0.004291,-0.191562,0.054634,-0.292009,-0.124300,-0.081669,-0.141048,-0.287470,-0.144193,0.206756,0.120670,0.333319,0.202608,0.516617,0.214952,0.209767,0.049804,0.156850,0.022327,0.211268,-0.175074,-0.052460,0.333165,0.212916,-0.107568,0.416399,0.254967,0.483668,0.004351,0.315899,0.213856,0.372448,0.212003,0.321143,0.412633,0.216502,0.295323,0.470136,-0.387470,0.065312,-0.163563,-0.135397,-0.884772,0.112130,0.177154,0.114068,0.169883,-0.092480,0.008438,0.110809,0.082802,-0.022746,-0.483431,0.102271,0.104291,-0.113088,0.106265,0.249252,0.314270,0.101809,0.100655,0.003925,-0.272411,0.001809,0.002962,-0.171423,0.252957,-0.089204,-0.043357,0.211973,-0.007060,-0.334628,-0.025751,-0.052235,-0.487271,0.202735,-0.190212,-0.276614,-0.145271,0.134059,0.411782,0.069630,0.033671,0.217439,-0.219071,0.050826,-0.195315,0.206757,-0.076356,0.034059,0.111782,0.013900,0.109767,0.221143,0.212633,-0.083498,0.195323,0.370136,0.050575
0=100,-0.124564,-0.097956,0.003862,-0.192406,0.054171,-0.302626,-0.128558,-0.083502,-0.156909,-0.288723,-0.169773,0.195490,0.113789,0.328065,0.196047,0.514956,0.213457,0.200232,0.042518,0.149172,0.011512,0.202284,-0.187898,-0.061455,0.321204,0.208296,-0.122043,0.414759,0.253854,0.482469,-0.003585,0.314309,0.206908,0.367238,0.204413,0.313715,0.411370,0.214852,0.292036,0.464779,-0.388723,0.057823,-0.178163,-0.141127,-0.886295,0.110917,0.175394,0.112661,0.152894,-0.093232,0.007594,0.109728,0.081221,-0.024564,-0.485088,0.102044,0.103862,-0.117902,0.105638,0.245561,0.312843,0.101628,0.099036,0.003533,-0.273271,0.001666,0.002666,-0.173116,0.247610,-0.090284,-0.050040,0.210776,-0.012432,-0.345526,-0.031791,-0.063174,-0.488544,0.201033,-0.201544,-0.284511,-0.152511,0.122587,0.410604,0.068435,0.022884,0.215695,-0.228033,0.041331,-0.202155,0.199078,-0.081599,0.022587,0.110604,0.004027,0.100232,0.213715,0.211370,-0.085148,0.192036,0.364779,0.045431
