,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.329937,-0.280887,-0.3,-0.256108,-0.1258,-0.238249,-0.030373,-0.139894,0,-0.3,-0.064601,-0.335561,-0.14847,-0.260481,-0.14479,-0.377781,-0.403454,0.04923,-0.220926,-0.327145,-0.1,-0.211516,-0.005212,-0.342898,-0.2,-0.139292,-0.027596,-0.141071,-0.039507,-0.1,-0.3,-0.120442,0.034287,-0.4,0,-0.294047,-0.206808,-0.9,-0.131151,0.085841,0.1,0.1,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.004875,0.05,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.432658,-0.3,-0.425307,-0.567909,-0.429328,-0.357722,-0.5,-0.3025,-0.376186,-0.3,-0.534839,-0.224639,-0.1,-0.408213,-0.259011,-0.3,-0.54843,-0.253557,-0.540247,-0.141958,-0.308957,-0.324639,-0.4,-0.259191,-0.164601,-0.139507,-0.3,-0.6,-0.220442,-0.065713,-0.192288
0=20,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.329937,-0.280887,-0.3,-0.256108,-0.1258,-0.238249,-0.030373,-0.139894,0,-0.3,-0.029522,-0.335561,-0.14847,-0.260481,-0.132384,-0.377781,-0.403454,0.04923,-0.219949,-0.327145,-0.065251,-0.211516,-0.005212,-0.342898,-0.198706,-0.139292,-0.027596,-0.141071,-0.039507,-0.052184,-0.3,-0.120442,0.129481,-0.4,0,-0.294047,-0.206808,-0.9,-0.131151,0.085841,0.1,0.1,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.004875,0.05,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.432658,-0.3,-0.425307,-0.567909,-0.429328,-0.357722,-0.5,-0.3025,-0.376186,-0.3,-0.534839,-0.13455,-0.1,-0.408213,-0.259011,-0.250203,-0.54843,-0.253557,-0.540247,-0.141958,-0.308957,-0.23455,-0.4,-0.259191,-0.129522,-0.139507,-0.252184,-0.6,-0.220442,0.029481,-0.185932
0=30,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.303853,-0.280887,-0.3,-0.256108,-0.1258,-0.199326,0.029743,-0.093845,0.157791,-0.245051,0.026942,-0.264751,-0.08542,-0.260481,-0.063778,-0.377781,-0.282625,0.106446,-0.126088,-0.222891,0.089833,-0.129171,0.086664,-0.342898,-0.032471,-0.082272,-0.027596,-0.093465,-0.026035,0.098544,-0.185238,-0.120442,0.205631,-0.4,0,-0.294047,-0.206808,-0.9,-0.131151,0.085841,0.1,0.1,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.004875,0.101527,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.384893,-0.267619,-0.380452,-0.567909,-0.399945,-0.357722,-0.5,-0.223045,-0.376186,-0.3,-0.492111,-0.08157,0.048996,-0.406109,-0.230617,-0.100135,-0.54843,-0.253557,-0.540247,-0.141958,-0.268639,-0.18157,-0.251004,-0.207729,-0.073058,-0.126035,-0.101456,-0.485238,-0.220442,0.105631,-0.152029
0=40,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.290134,-0.280887,-0.3,-0.21489,0.012669,-0.161029,0.073478,-0.059128,0.243343,-0.133788,0.018762,-0.221682,-0.057328,-0.203307,-0.034522,-0.308448,-0.268993,0.145425,-0.06751,-0.187212,0.167375,-0.052299,0.174659,-0.293986,0.050647,-0.050751,0.029309,-0.059254,0.028318,0.173908,-0.088928,-0.073606,0.221657,-0.4,0,-0.266385,-0.206808,-0.9,-0.128743,0.085841,0.1,0.098754,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.067749,0.151145,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.351047,-0.150714,-0.324609,-0.503107,-0.353511,-0.294563,-0.5,-0.125023,-0.309584,-0.3,-0.454703,-0.088037,0.136747,-0.311627,-0.179186,-0.025101,-0.488854,-0.205453,-0.478736,-0.095411,-0.273069,-0.188037,-0.163253,-0.169901,-0.081238,-0.071682,-0.026092,-0.388928,-0.173606,0.121657,-0.119067
0=50,-0.121862,-0.1,0,-0.2,0.072904,-0.319877,-0.236705,-0.274368,-0.229152,-0.3,-0.164864,0.015972,-0.129544,0.083658,-0.028618,0.294675,-0.067031,0.013854,-0.191377,-0.040291,-0.173933,-0.016611,-0.319069,-0.250924,0.151731,-0.032364,-0.193067,0.2139,-0.006177,0.227457,-0.265386,0.100518,-0.017806,0.071853,-0.030515,0.051928,0.219126,-0.031143,-0.018757,0.241107,-0.4,-0.005691,-0.282468,-0.196654,-0.9,-0.106969,0.088905,0.1,0.079003,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.241517,0.1,0.063931,0.180916,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.170764,-0.1,-0.316636,-0.080571,-0.283373,-0.485673,-0.31087,-0.268731,-0.5,-0.066209,-0.311937,-0.31479,-0.417147,-0.091917,0.189397,-0.247642,-0.166904,0.019919,-0.463828,-0.173551,-0.456745,-0.065911,-0.278873,-0.191917,-0.110603,-0.170127,-0.086146,-0.048072,0.019126,-0.331143,-0.118757,0.141107,-0.099714
0=60,-0.111446,-0.1,0,-0.2,0.072904,-0.333231,-0.237378,-0.265481,-0.239568,-0.3,-0.142715,0.0112,-0.104907,0.093903,-0.005259,0.328896,-0.022526,0.016724,-0.172004,-0.030766,-0.17105,-0.00616,-0.32615,-0.234337,0.146783,-0.008933,-0.196969,0.244916,0.024572,0.262655,-0.24909,0.133765,0.004083,0.104684,-0.007618,0.07879,0.249272,0.007381,0.019598,0.25744,-0.4,-0.021409,-0.29319,-0.204174,-0.9,-0.098102,0.103343,0.097665,0.065836,-0.1,0,0.094591,0.092659,-0.011446,-0.503083,0.1,0.1,-0.188736,0.1,0.058689,0.200764,0.1,0.097779,0,-0.259029,-0.000194,0,-0.150894,0.159274,-0.105209,-0.291979,-0.033809,-0.255883,-0.492075,-0.282443,-0.265598,-0.513051,-0.027,-0.319084,-0.328992,-0.392109,-0.094504,0.224498,-0.204985,-0.171968,0.049932,-0.451618,-0.158682,-0.430435,-0.048812,-0.282742,-0.194504,-0.075502,-0.174735,-0.083276,-0.02121,0.049272,-0.292619,-0.080402,0.15744,-0.087598
0=70,-0.100217,-0.1,0,-0.2,0.088903,-0.342769,-0.245289,-0.261575,-0.247009,-0.307507,-0.138753,0.007792,-0.088287,0.103215,0.007412,0.353339,0.009264,0.020187,-0.160964,-0.022882,-0.175377,0.002366,-0.331208,-0.223351,0.143249,0.007804,-0.199757,0.267071,0.046535,0.287796,-0.227814,0.157513,0.014408,0.128134,0.00307,0.097977,0.270805,0.034898,0.046995,0.270705,-0.407507,-0.032636,-0.300849,-0.212512,-0.908129,-0.087669,0.107735,0.083713,0.056431,-0.109863,0,0.081078,0.103025,-0.000217,-0.516928,0.1,0.1,-0.17247,0.1,0.054945,0.21494,0.1,0.105482,0,-0.270127,-0.000194,0,-0.161065,0.151066,-0.11875,-0.274367,-0.000408,-0.236247,-0.496648,-0.262138,-0.269631,-0.525472,0.001006,-0.324189,-0.339136,-0.374225,-0.093281,0.24957,-0.174517,-0.173498,0.071371,-0.438818,-0.158256,-0.410355,-0.027065,-0.281199,-0.193281,-0.05043,-0.171005,-0.079813,-0.002023,0.070805,-0.265102,-0.053005,0.170705,-0.080545
0=80,-0.094165,-0.104354,-0.001975,-0.210118,0.097878,-0.349923,-0.251222,-0.258291,-0.252589,-0.319069,-0.142192,0.005236,-0.079167,0.11103,0.016103,0.371672,0.033106,0.02303,-0.151742,-0.016249,-0.178623,0.009455,-0.335001,-0.214666,0.144095,0.020356,-0.201848,0.283687,0.063007,0.306652,-0.213557,0.175324,0.023108,0.145721,0.011485,0.108862,0.286954,0.055536,0.067542,0.281691,-0.419069,-0.041057,-0.306593,-0.218766,-0.919613,-0.077643,0.102177,0.073248,0.049377,-0.12113,-0.010118,0.070943,0.108634,0.005835,-0.527312,0.095646,0.098025,-0.177752,0.093804,0.052137,0.225573,0.1,0.09816,-0.003626,-0.278452,-0.009582,0,-0.168693,0.14491,-0.128906,-0.2635,0.024643,-0.22152,-0.500078,-0.246909,-0.268081,-0.534788,0.022011,-0.328018,-0.346744,-0.363023,-0.088744,0.268373,-0.151665,-0.169032,0.087449,-0.43183,-0.155108,-0.397668,-0.010754,-0.279209,-0.188744,-0.031627,-0.166653,-0.07697,0.008862,0.086954,-0.244464,-0.032458,0.181691,-0.076407
0=90,-0.090379,-0.114981,-0.012867,-0.220105,0.103222,-0.355487,-0.255836,-0.255492,-0.256929,-0.328061,-0.138485,0.003248,-0.07133,0.117682,0.023556,0.38593,0.05165,0.025405,-0.143923,-0.010592,-0.176509,0.015442,-0.337951,-0.207437,0.148247,0.030119,-0.203474,0.296611,0.075819,0.321318,-0.206315,0.189176,0.030538,0.159401,0.018698,0.11662,0.299515,0.071587,0.083523,0.29094,-0.428061,-0.047606,-0.311061,-0.22363,-0.928545,-0.069846,0.097855,0.06511,0.043891,-0.129894,-0.020105,0.063061,0.107923,0.009621,-0.535389,0.085019,0.087133,-0.181861,0.083382,0.049952,0.233842,0.092777,0.092466,-0.014334,-0.284926,-0.019479,-0.005865,-0.174627,0.140122,-0.136806,-0.255188,0.044127,-0.210066,-0.502746,-0.235065,-0.263883,-0.542034,0.038348,-0.330996,-0.352661,-0.354572,-0.08503,0.282999,-0.133891,-0.165181,0.099955,-0.425757,-0.150019,-0.389984,-0.003264,-0.277532,-0.18503,-0.017001,-0.162922,-0.074595,0.01662,0.099515,-0.228413,-0.016477,0.19094,-0.073776
0=100,-0.089064,-0.123483,-0.02158,-0.228095,0.106768,-0.359938,-0.259528,-0.253078,-0.260401,-0.335255,-0.133284,0.001658,-0.064523,0.123414,0.030018,0.397337,0.066485,0.02742,-0.137209,-0.005709,-0.17329,0.020566,-0.340311,-0.201327,0.151842,0.038463,-0.204775,0.30695,0.086069,0.333051,-0.199944,0.200259,0.036958,0.170344,0.02495,0.123394,0.309563,0.084429,0.096308,0.298833,-0.435255,-0.052845,-0.314635,-0.227521,-0.93569,-0.063608,0.094397,0.058599,0.039502,-0.136904,-0.028095,0.056755,0.10436,0.010936,-0.54185,0.076517,0.07842,-0.185147,0.075044,0.048205,0.240458,0.083499,0.08791,-0.022901,-0.290105,-0.027397,-0.015278,-0.179373,0.136292,-0.143125,-0.247984,0.059714,-0.200908,-0.504232,-0.226342,-0.260202,-0.547831,0.051417,-0.333378,-0.357395,-0.34724,-0.081719,0.294699,-0.119672,-0.161826,0.109959,-0.42043,-0.145537,-0.383256,0.003288,-0.276099,-0.181719,-0.005301,-0.159688,-0.07258,0.023394,0.109563,-0.215571,-0.003692,0.198833,-0.071663
