,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,-0.061810,-0.026397,0.051506,-0.147593,0.086051,0.396302,0.186918,0.000000,0.293555,-0.224717,0.487783,0.500000,0.400000,0.600000,0.500000,0.600000,0.300000,0.536708,0.300000,0.500000,0.400000,0.500000,0.300000,0.252323,0.716584,0.400000,0.350020,0.500000,0.400000,0.565832,0.300000,0.384716,0.500000,0.600000,0.500000,0.600000,0.500000,0.300000,0.500000,0.600000,-0.324717,0.270724,0.400000,0.009612,-0.800000,0.166416,0.185339,0.183914,0.800000,0.000000,0.052407,0.200000,0.141330,0.038190,-0.400000,0.173603,0.151506,-0.019580,0.161487,0.367196,0.322802,0.119195,0.139996,0.040835,-0.200000,0.042500,0.039868,-0.100000,0.602787,0.000000,0.200000,0.300000,0.200000,0.100000,0.200000,0.300000,-0.400000,0.300000,0.300000,0.243704,0.100000,0.400000,0.500000,0.200000,0.400000,0.293296,0.100000,0.400000,0.100000,0.500000,0.124953,0.300000,0.200000,0.400000,0.436708,0.500000,0.300000,0.000000,0.400000,0.500000,0.251119
0=20,-0.095872,-0.063199,0.025753,-0.173796,0.068025,0.359174,-0.032041,-0.042124,0.065295,-0.262359,0.380282,0.500000,0.280358,0.600000,0.304698,0.573789,0.261538,0.377730,0.117154,0.387366,0.299653,0.301115,0.190146,0.153398,0.564729,0.250542,0.224309,0.455779,0.301350,0.515103,0.124988,0.342358,0.336972,0.432905,0.416062,0.410862,0.466519,0.262229,0.353169,0.600000,-0.362359,0.210410,0.400000,-0.062452,-0.813667,0.133208,0.179468,0.141957,0.475665,-0.028026,0.026204,0.161723,0.114141,0.004128,-0.441535,0.136801,0.125753,-0.019580,0.130744,0.307469,0.311401,0.109598,0.121638,0.020418,-0.200000,0.021441,0.019934,-0.100000,0.602787,-0.038339,0.200000,0.262766,0.080500,-0.031721,0.149105,0.160740,-0.421892,0.253489,0.181897,-0.000707,0.035573,0.400000,0.464300,0.100918,0.381595,0.246648,-0.052661,0.225286,-0.055709,0.309796,0.087820,0.300000,0.164300,0.265325,0.277730,0.310862,0.266519,-0.037771,0.253169,0.500000,0.176008
0=30,-0.107225,-0.075466,0.017169,-0.182531,0.062017,0.106725,-0.091664,-0.061416,-0.010792,-0.274906,0.360673,0.370817,0.200907,0.436221,0.289726,0.549193,0.241025,0.298667,0.100940,0.288191,0.186238,0.270940,0.040367,0.112473,0.480998,0.237524,0.161259,0.437186,0.282179,0.500629,0.085930,0.328239,0.294715,0.419706,0.297316,0.391324,0.444346,0.241486,0.339760,0.600000,-0.374906,0.146373,0.165084,-0.089260,-0.842445,0.122139,0.177689,0.127971,0.317110,-0.052017,0.017469,0.141149,0.102250,-0.007225,-0.461024,0.124534,0.117169,-0.090688,0.120496,0.286210,0.307601,0.106398,0.111700,0.013612,-0.228503,0.014421,0.013289,-0.127181,0.419463,-0.058892,0.022767,0.241844,0.035447,-0.149187,0.028429,0.067846,-0.447928,0.230897,0.038958,-0.116678,-0.087187,0.295850,0.442867,0.086504,0.215472,0.231099,-0.122436,0.151392,-0.106625,0.286096,-0.005780,0.195850,0.142867,0.167991,0.198667,0.291324,0.244346,-0.058514,0.239760,0.500000,0.125528
0=40,-0.112902,-0.081599,0.012877,-0.186898,0.059013,-0.019500,-0.107467,-0.071062,-0.048835,-0.281179,0.350869,0.267969,0.193174,0.383262,0.265396,0.536895,0.230769,0.256912,0.089523,0.260353,0.122452,0.242189,-0.037039,0.107895,0.440847,0.231015,0.131954,0.427889,0.272593,0.493393,0.061985,0.321179,0.281436,0.413107,0.289011,0.370042,0.433259,0.231114,0.333055,0.470303,-0.381179,0.136981,0.023813,-0.109536,-0.856834,0.116604,0.173068,0.120979,0.237833,-0.064013,0.013102,0.130861,0.094978,-0.012902,-0.470768,0.118401,0.112877,-0.146924,0.115372,0.270668,0.305700,0.104799,0.105721,0.010209,-0.246378,0.010911,0.009967,-0.145386,0.331698,-0.069169,0.003804,0.231383,0.026381,-0.213593,0.018594,0.016172,-0.460946,0.219601,-0.035289,-0.174664,-0.096189,0.176427,0.432150,0.079297,0.152981,0.223324,-0.151829,0.117772,-0.119960,0.259043,-0.014655,0.076427,0.132150,0.112088,0.156912,0.270042,0.233259,-0.068886,0.233055,0.370303,0.098819
0=50,-0.117109,-0.085279,0.010301,-0.189519,0.057210,-0.095235,-0.118265,-0.076850,-0.071661,-0.284943,0.344987,0.203545,0.177819,0.361985,0.246022,0.529516,0.224615,0.232626,0.071380,0.236393,0.089435,0.221191,-0.083482,0.094943,0.421618,0.227109,0.120262,0.422312,0.266842,0.489050,0.040984,0.316943,0.261537,0.403452,0.273166,0.350625,0.426608,0.224891,0.329032,0.411031,-0.384943,0.131346,-0.060949,-0.123930,-0.865467,0.113283,0.159907,0.116783,0.190266,-0.071210,0.010481,0.124689,0.090071,-0.017109,-0.476614,0.114721,0.110301,-0.155006,0.112297,0.260209,0.304560,0.103839,0.101729,0.008167,-0.257102,0.008805,0.007974,-0.156309,0.277258,-0.075335,-0.002082,0.225106,0.020942,-0.252022,0.012693,-0.011005,-0.468757,0.212823,-0.079838,-0.209455,-0.101590,0.102813,0.425720,0.074973,0.112228,0.218659,-0.175306,0.092849,-0.140329,0.238773,-0.019979,0.002813,0.125720,0.084291,0.132626,0.250625,0.226608,-0.075109,0.229032,0.311031,0.082327
0=60,-0.120838,-0.087733,0.008584,-0.191265,0.056008,-0.145724,-0.126111,-0.080708,-0.086878,-0.287453,0.341065,0.160596,0.162126,0.342156,0.231224,0.524596,0.220513,0.214431,0.057442,0.217568,0.066859,0.205184,-0.114445,0.082503,0.407131,0.219997,0.106425,0.418593,0.263008,0.486156,0.024797,0.314119,0.246128,0.392028,0.256328,0.335751,0.422173,0.220743,0.323567,0.382365,-0.387453,0.127589,-0.117458,-0.134678,-0.871222,0.111069,0.150251,0.113986,0.158555,-0.076009,0.008735,0.120574,0.086536,-0.020838,-0.480512,0.112267,0.108584,-0.160394,0.110248,0.252690,0.303800,0.103199,0.098874,0.006806,-0.264252,0.007401,0.006645,-0.163590,0.240964,-0.079446,-0.010228,0.220922,0.017316,-0.276372,0.008759,-0.032211,-0.473964,0.208305,-0.109537,-0.228910,-0.113457,0.053738,0.421433,0.072090,0.089504,0.215549,-0.193550,0.073636,-0.156142,0.223252,-0.023529,-0.046262,0.121433,0.062573,0.114431,0.235751,0.222173,-0.079257,0.223567,0.282365,0.070653
0=70,-0.123651,-0.089485,0.007358,-0.192513,0.055150,-0.181789,-0.133376,-0.083464,-0.097748,-0.289245,0.338264,0.129919,0.149488,0.325843,0.219553,0.521083,0.217582,0.200291,0.046398,0.202387,0.048614,0.192576,-0.136560,0.072423,0.395825,0.212783,0.091798,0.415937,0.260269,0.484088,0.011937,0.312102,0.233843,0.383019,0.242684,0.323991,0.419005,0.217780,0.316374,0.369240,-0.389245,0.115361,-0.157821,-0.143009,-0.875333,0.109488,0.142864,0.111988,0.135904,-0.079436,0.007487,0.117635,0.083869,-0.023651,-0.483296,0.110515,0.107358,-0.164243,0.108784,0.247024,0.303257,0.102742,0.096731,0.005834,-0.269359,0.006398,0.005695,-0.168792,0.215942,-0.082382,-0.023071,0.217933,0.011223,-0.295935,0.001110,-0.049219,-0.477683,0.205077,-0.130887,-0.243946,-0.125685,0.018683,0.418371,0.070031,0.070943,0.213328,-0.208135,0.058371,-0.168775,0.210986,-0.032492,-0.081317,0.118371,0.045136,0.100291,0.223991,0.219005,-0.082220,0.216374,0.269240,0.061572
0=80,-0.125848,-0.090800,0.006438,-0.193449,0.054506,-0.208837,-0.145086,-0.085531,-0.105900,-0.290590,0.336163,0.106910,0.139091,0.312185,0.210112,0.518447,0.215384,0.188986,0.037431,0.189885,0.033563,0.182389,-0.154088,0.064090,0.386755,0.206982,0.079683,0.413945,0.258215,0.482537,0.001475,0.310589,0.223820,0.375734,0.231405,0.314461,0.416630,0.215557,0.310582,0.354614,-0.390590,0.102895,-0.188093,-0.149657,-0.878417,0.108302,0.137031,0.110489,0.118916,-0.082006,0.006551,0.115431,0.081785,-0.025848,-0.485384,0.109200,0.106438,-0.167130,0.107686,0.239821,0.302850,0.102399,0.095063,0.005104,-0.273189,0.005646,0.004983,-0.172693,0.201309,-0.084585,-0.033783,0.215691,0.003387,-0.311995,-0.007950,-0.063164,-0.480473,0.202657,-0.148818,-0.256158,-0.135816,-0.007607,0.416075,0.068486,0.055498,0.211662,-0.220062,0.045952,-0.179098,0.201049,-0.042033,-0.107607,0.116075,0.030828,0.088986,0.214461,0.216630,-0.084443,0.210582,0.254614,0.054164
0=90,-0.127612,-0.091822,0.005723,-0.194177,0.054006,-0.229874,-0.154885,-0.087139,-0.112241,-0.291635,0.334529,0.089015,0.130389,0.300584,0.202318,0.516398,0.213675,0.179741,0.030006,0.179411,0.020934,0.173987,-0.169498,0.057085,0.379317,0.202215,0.069483,0.412395,0.256618,0.481331,-0.007202,0.309413,0.215487,0.369720,0.221924,0.306581,0.414782,0.213829,0.305818,0.341890,-0.391635,0.092418,-0.211639,-0.155083,-0.880815,0.107380,0.132307,0.109324,0.105703,-0.084006,0.005823,0.113716,0.080112,-0.027612,-0.487008,0.108178,0.105723,-0.173015,0.106832,0.232466,0.302534,0.102133,0.093729,0.004537,-0.276168,0.005061,0.004430,-0.175727,0.188843,-0.086297,-0.042854,0.213948,-0.003173,-0.325416,-0.015588,-0.074804,-0.482643,0.200774,-0.163831,-0.266273,-0.144347,-0.028056,0.414289,0.067285,0.042445,0.210366,-0.229997,0.035650,-0.187692,0.192835,-0.050013,-0.128056,0.114289,0.018876,0.079741,0.206581,0.214782,-0.086171,0.205818,0.241890,0.048054
0=100,-0.129058,-0.092640,0.005151,-0.194759,0.053605,-0.246704,-0.163206,-0.088425,-0.117313,-0.292472,0.333222,0.074554,0.122997,0.290608,0.195774,0.514758,0.212308,0.172040,0.023757,0.170507,0.010186,0.166939,-0.182601,0.051115,0.373108,0.198229,0.060778,0.411156,0.255340,0.480366,-0.014517,0.308472,0.208449,0.364671,0.213844,0.299957,0.413304,0.212446,0.301831,0.330719,-0.392472,0.083489,-0.230475,-0.159598,-0.882733,0.106642,0.128404,0.108391,0.095133,-0.085605,0.005241,0.112345,0.078739,-0.029058,-0.488307,0.107360,0.105151,-0.183363,0.106149,0.226276,0.302280,0.101920,0.092636,0.004084,-0.278551,0.004593,0.003987,-0.178154,0.178094,-0.087668,-0.050633,0.212553,-0.008745,-0.336800,-0.022114,-0.084668,-0.484378,0.199268,-0.176584,-0.274787,-0.151630,-0.044414,0.412860,0.066324,0.031268,0.209330,-0.238400,0.026967,-0.194958,0.185931,-0.056787,-0.144414,0.112860,0.008742,0.072040,0.199957,0.213304,-0.087554,0.201831,0.230719,0.042905
