,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
0=10,-0.150000,-0.150000,-0.046086,-0.246743,0.050000,-0.131715,-0.202781,-0.100000,-0.066716,-0.350000,-0.043605,0.086914,-0.038249,0.184605,0.060106,0.354020,0.058038,0.136377,-0.135561,0.051530,-0.072319,0.055210,-0.177781,-0.153522,0.271067,-0.020926,-0.154335,0.100000,-0.011516,0.194788,-0.146136,0.140923,0.060708,0.171064,0.058819,0.160493,0.100000,-0.011145,0.079558,0.267494,-0.450000,0.021135,-0.094047,-0.113973,-0.914116,0.100000,0.081354,0.050000,0.300000,-0.150000,-0.046743,0.050000,0.050000,-0.050000,-0.550000,0.050000,0.053914,-0.210045,0.054006,0.210881,0.300000,0.050000,0.050000,-0.050000,-0.315432,-0.050000,-0.031334,-0.236157,0.234561,-0.150000,-0.186852,0.095231,-0.230700,-0.367909,-0.183214,-0.160758,-0.529271,0.017275,-0.176186,-0.165123,-0.315288,-0.052421,0.118860,-0.213666,-0.055339,-0.100000,-0.349078,-0.052235,-0.340749,0.054843,-0.096052,-0.152421,-0.181140,-0.059191,0.036377,0.060493,-0.100000,-0.311145,-0.020442,0.167494,-0.053720
0=20,-0.150000,-0.126597,-0.023043,-0.223371,0.050000,-0.265401,-0.231180,-0.100000,-0.160291,-0.327585,-0.049390,0.058287,-0.031342,0.191876,0.058464,0.427010,0.129019,0.136377,-0.140073,0.051215,-0.098698,0.054381,-0.205554,-0.134869,0.241168,-0.023866,-0.103941,0.202129,0.036968,0.227722,-0.118560,0.220461,0.057662,0.210819,0.070122,0.168964,0.156876,0.094428,0.113840,0.307559,-0.427585,-0.001521,-0.113914,-0.113973,-0.907058,0.100000,0.081354,0.068135,0.253371,-0.128211,-0.023371,0.061706,0.050000,-0.050000,-0.525249,0.073403,0.076957,-0.178615,0.077003,0.210881,0.300000,0.074480,0.050000,-0.029130,-0.301388,-0.050000,-0.015667,-0.212518,0.227135,-0.138056,-0.171081,0.147615,-0.170504,-0.378888,-0.148269,-0.185175,-0.514635,0.095541,-0.180233,-0.230544,-0.279522,0.019247,0.259430,-0.096763,-0.088092,-0.020422,-0.343334,-0.064607,-0.326132,0.083711,-0.096052,-0.080753,-0.040570,-0.056592,0.036377,0.068964,-0.043124,-0.205572,0.013840,0.207559,-0.035488
0=30,-0.147908,-0.117731,-0.015362,-0.215581,0.050000,-0.309963,-0.231775,-0.100000,-0.198334,-0.318390,-0.049279,0.057098,-0.002430,0.196860,0.055627,0.451340,0.152679,0.141507,-0.118908,0.050832,-0.104844,0.052906,-0.247298,-0.123649,0.223311,0.004665,-0.128430,0.268086,0.090324,0.301176,-0.114170,0.246974,0.068246,0.242013,0.087596,0.193147,0.237917,0.129618,0.156024,0.328381,-0.418390,0.001854,-0.187996,-0.158407,-0.904705,0.100000,0.075831,0.078756,0.168914,-0.118807,-0.015581,0.074470,0.054934,-0.047908,-0.516833,0.082269,0.084638,-0.171272,0.084669,0.214550,0.300000,0.082986,0.060563,-0.019420,-0.296707,-0.033462,-0.010445,-0.203151,0.188684,-0.125370,-0.163915,0.165077,-0.141945,-0.414257,-0.137092,-0.189811,-0.509757,0.121629,-0.227674,-0.278466,-0.270635,0.005367,0.306287,-0.057040,-0.093887,0.053052,-0.342328,-0.066941,-0.308588,0.088914,-0.109282,-0.094633,0.006287,-0.064424,0.041507,0.093147,0.037917,-0.170382,0.056024,0.228381,-0.027705
0=40,-0.135931,-0.113298,-0.011521,-0.211686,0.061452,-0.332244,-0.233665,-0.160188,-0.217355,-0.313792,-0.049207,0.055614,0.003177,0.199825,0.080572,0.463505,0.164510,0.122537,-0.096329,0.055727,-0.108539,0.068478,-0.268171,-0.115835,0.220695,0.037930,-0.140674,0.301065,0.117001,0.337903,-0.111481,0.260231,0.090679,0.255672,0.091756,0.198109,0.278438,0.147214,0.177117,0.341455,-0.413792,0.005924,-0.225038,-0.177018,-0.903529,0.043452,0.084380,0.084067,0.126686,-0.114105,-0.011686,0.080853,0.066201,-0.035931,-0.512625,0.086702,0.088479,-0.168971,0.088502,0.160488,0.300000,0.087240,0.070422,-0.014565,-0.294366,-0.025097,-0.007833,-0.198468,0.170777,-0.119028,-0.159821,0.173808,-0.129135,-0.429310,-0.130529,-0.192619,-0.507318,0.134674,-0.251395,-0.302427,-0.265295,-0.012771,0.329715,-0.037179,-0.097500,0.089789,-0.341702,-0.068412,-0.304071,0.092169,-0.171899,-0.112771,0.029715,-0.085688,0.022537,0.098109,0.078438,-0.152786,0.077117,0.241455,-0.025522
0=50,-0.128745,-0.110639,-0.009217,-0.209349,0.069162,-0.345612,-0.238319,-0.208150,-0.228767,-0.311034,-0.049156,0.054599,0.007223,0.201791,0.091069,0.470804,0.171608,0.104355,-0.087540,0.056314,-0.111004,0.071151,-0.280694,-0.110541,0.218863,0.057889,-0.143449,0.320852,0.133008,0.359939,-0.109665,0.268185,0.095676,0.263046,0.094725,0.201674,0.302750,0.157771,0.189772,0.350426,-0.411034,0.008366,-0.247262,-0.192792,-0.902823,-0.005238,0.089509,0.087254,0.101348,-0.111284,-0.009349,0.084682,0.072961,-0.028745,-0.510100,0.089361,0.090783,-0.167591,0.090801,0.128051,0.277354,0.089792,0.076338,-0.011652,-0.292962,-0.020077,-0.006267,-0.195658,0.162313,-0.115222,-0.157171,0.179046,-0.121400,-0.435600,-0.126212,-0.194502,-0.505854,0.142500,-0.265627,-0.316804,-0.261732,-0.023653,0.343772,-0.025262,-0.099968,0.111831,-0.341274,-0.069424,-0.300854,0.094396,-0.209468,-0.123653,0.043772,-0.089177,0.004355,0.101674,0.102750,-0.142229,0.089772,0.250426,-0.024939
0=60,-0.123954,-0.108866,-0.007681,-0.207790,0.074301,-0.354525,-0.241776,-0.240125,-0.236376,-0.309195,-0.049119,0.053862,0.010281,0.203190,0.094156,0.475670,0.176340,0.093838,-0.083292,0.056778,-0.112767,0.072743,-0.288711,-0.106717,0.217509,0.071196,-0.143332,0.334043,0.143679,0.374630,-0.108356,0.273487,0.098857,0.268563,0.096951,0.204360,0.318959,0.164809,0.198193,0.356965,-0.409195,0.006528,-0.262079,-0.198636,-0.902353,-0.037699,0.092929,0.089378,0.084457,-0.109404,-0.007790,0.087235,0.077467,-0.023954,-0.508416,0.091134,0.092319,-0.167494,0.092334,0.106426,0.231129,0.091493,0.080282,-0.009710,-0.292026,-0.016731,-0.005222,-0.193785,0.161665,-0.112685,-0.155317,0.182538,-0.115668,-0.440378,-0.123156,-0.195853,-0.504878,0.147718,-0.274957,-0.325241,-0.259185,-0.030908,0.353143,-0.017318,-0.101762,0.126526,-0.340964,-0.070163,-0.298447,0.096017,-0.234515,-0.130908,0.053143,-0.091909,-0.006162,0.104360,0.118959,-0.135191,0.098193,0.256965,-0.024769
0=70,-0.120532,-0.107599,-0.006584,-0.206678,0.077973,-0.360891,-0.244444,-0.262965,-0.241811,-0.307881,-0.049090,0.053301,0.012673,0.204237,0.096661,0.479146,0.179720,0.090335,-0.079887,0.057153,-0.114090,0.074036,-0.294636,-0.103824,0.216468,0.080700,-0.144293,0.343465,0.151302,0.385124,-0.107368,0.277275,0.101414,0.272845,0.098682,0.206456,0.330536,0.169836,0.204454,0.361941,-0.407881,0.003052,-0.272662,-0.203467,-0.902017,-0.060884,0.095371,0.090896,0.072392,-0.108060,-0.006678,0.089059,0.080686,-0.020532,-0.507214,0.092401,0.093416,-0.167790,0.093429,0.090980,0.198110,0.092708,0.083098,-0.008323,-0.291357,-0.014341,-0.004476,-0.192447,0.161161,-0.110873,-0.153947,0.185033,-0.111251,-0.444131,-0.120879,-0.196869,-0.504182,0.151445,-0.280909,-0.330154,-0.257274,-0.031144,0.359837,-0.011643,-0.103123,0.137022,-0.340729,-0.070726,-0.296579,0.097249,-0.252405,-0.131144,0.059837,-0.094106,-0.009665,0.106456,0.130536,-0.130164,0.104454,0.261941,-0.024463
0=80,-0.117965,-0.106649,-0.005761,-0.205843,0.080726,-0.365665,-0.246566,-0.280094,-0.245887,-0.306896,-0.049067,0.052861,0.014596,0.205050,0.098735,0.481752,0.182255,0.087406,-0.077095,0.057463,-0.115119,0.075106,-0.299422,-0.101561,0.215642,0.087828,-0.145084,0.350532,0.157018,0.392994,-0.106595,0.280115,0.103515,0.276265,0.100066,0.208138,0.339219,0.173607,0.209509,0.365856,-0.406896,0.000205,-0.280599,-0.207528,-0.901764,-0.078274,0.097203,0.092034,0.063343,-0.107053,-0.005843,0.090426,0.083100,-0.017965,-0.506312,0.093351,0.094239,-0.168036,0.094251,0.079395,0.173347,0.093620,0.085211,-0.007282,-0.290855,-0.012548,-0.003917,-0.191443,0.160757,-0.109514,-0.152892,0.186904,-0.107742,-0.447157,-0.119117,-0.197661,-0.503659,0.154240,-0.285760,-0.334166,-0.255786,-0.030627,0.364858,-0.007387,-0.104193,0.144895,-0.340544,-0.071169,-0.295086,0.098217,-0.265823,-0.130627,0.064858,-0.095910,-0.012594,0.108138,0.139219,-0.126393,0.109509,0.265856,-0.024220
0=90,-0.115969,-0.105910,-0.005121,-0.205194,0.082868,-0.369379,-0.248295,-0.293417,-0.249057,-0.306130,-0.049048,0.052506,0.016175,0.205731,0.100479,0.483780,0.184226,0.084921,-0.074765,0.057724,-0.115942,0.076006,-0.303369,-0.099741,0.214971,0.093373,-0.145744,0.356029,0.161465,0.399115,-0.105974,0.282325,0.105272,0.279059,0.101198,0.209516,0.345972,0.176539,0.213675,0.369017,-0.406130,-0.002171,-0.286773,-0.210989,-0.901568,-0.091799,0.098628,0.092919,0.056305,-0.106269,-0.005194,0.091490,0.084978,-0.015969,-0.505611,0.094090,0.094879,-0.168244,0.094890,0.070385,0.154086,0.094329,0.086854,-0.006473,-0.290535,-0.011154,-0.003482,-0.190663,0.160425,-0.108457,-0.152056,0.188359,-0.104888,-0.449648,-0.117713,-0.198296,-0.503252,0.156414,-0.289788,-0.337505,-0.254596,-0.030361,0.368762,-0.004077,-0.105054,0.151017,-0.340395,-0.071527,-0.293865,0.098998,-0.276259,-0.130361,0.068762,-0.097420,-0.015079,0.109516,0.145972,-0.123461,0.113675,0.269017,-0.024034
0=100,-0.114372,-0.105319,-0.004609,-0.204674,0.084581,-0.372350,-0.249729,-0.304075,-0.251593,-0.305517,-0.049033,0.052214,0.017494,0.206325,0.101968,0.485402,0.185804,0.082787,-0.072792,0.057945,-0.116616,0.076775,-0.306681,-0.098246,0.214415,0.097743,-0.146305,0.360426,0.165022,0.404012,-0.105465,0.284092,0.106762,0.281385,0.102141,0.210667,0.351375,0.178886,0.217168,0.371621,-0.405517,-0.004182,-0.291712,-0.213975,-0.901412,-0.102619,0.099768,0.093627,0.050674,-0.105642,-0.004674,0.092341,0.086480,-0.014372,-0.505050,0.094681,0.095391,-0.168422,0.095401,0.063176,0.138677,0.094896,0.088169,-0.005826,-0.290732,-0.010039,-0.003133,-0.190038,0.160149,-0.107611,-0.151377,0.189523,-0.102522,-0.451735,-0.116568,-0.198816,-0.502927,0.158153,-0.293187,-0.340327,-0.253623,-0.030556,0.371886,-0.001428,-0.105764,0.155916,-0.340273,-0.071823,-0.292849,0.099641,-0.284608,-0.130556,0.071886,-0.098700,-0.017213,0.110667,0.151375,-0.121114,0.117168,0.271621,-0.023900
